Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
Marijuana Business Daily,Media,"Providence-Warwick, RI-MA",Million,Colorado,12.88,302,7
Total Technology Solutions Group,Business Products & Services,Chicago,Million,Illinois,12.87,303,13
Welltok,Health,Denver,Million,Colorado,12.85,304,26
Transitions Commute Solutions,Logistics & Transportation,"Orlando, FL",Million,Florida,12.81,305,4
Skyrocket Toys,Consumer Products & Services,Los Angeles,Million,California,12.77,306,111
Aspirent Consulting,IT Services,Atlanta,Million,Georgia,12.77,307,6
GuidePoint Security,Security,"Washington, DC",Million,Virginia,12.76,308,111
Panthera Technologies,IT Services,Baltimore,Million,Maryland,12.7,309,2
Vighter Medical Group,Government Services,"Winona, MN",Million,Minnesota,12.67,310,4
Whim Hospitality,Food & Beverage,,Million,Texas,12.6,311,7
Axis Global Enterprises,Construction,"Virginia Beach-Norfolk-Newport News, VA-NC",Million,Virginia,12.37,312,6
GrowersHouse.com,Retail,"Tucson, AZ",Million,Arizona,12.33,313,17
Pixability,Advertising & Marketing,Boston,Million,Massachusetts,12.26,314,10
The Rian Group Real Estate,Real Estate,"Portland, OR",Million,Oregon,12.23,315,6
Saatva,Retail,New York City,Million,Connecticut,12.21,316,70
Optima Tax Relief,Financial Services,Los Angeles,Million,California,12.14,317,54
Ashby Law,Consumer Products & Services,"Kennewick-Richland, WA",Million,Washington,12.14,318,2
Enovachem,Health,Los Angeles,Million,California,12.09,319,21
1 Source Business Solutions,Human Resources,Salt Lake City,Million,Utah,12.06,320,78
Ambassador,Software,Detroit,Million,Michigan,12.02,321,3
Wellbe,Health,"Madison, WI",Million,Wisconsin,12.01,322,2
Proove Biosciences,Health,Los Angeles,Million,California,11.95,323,18
SSi,Human Resources,"Virginia Beach-Norfolk-Newport News, VA-NC",Million,Virginia,11.94,324,12
Evoke Brand Strategies,Advertising & Marketing,"Madison, WI",Million,Wisconsin,11.83,325,2
Oasys,Government Services,"Washington, DC",Million,Virginia,11.82,326,5
ClearSource,Business Products & Services,Salt Lake City,Million,Utah,11.81,327,6
GENERAL MATERIALS,Business Products & Services,Atlanta,Million,Georgia,11.76,328,3
Food52,Retail,New York City,Million,New York,11.73,329,11
Signpost,Advertising & Marketing,New York City,Million,New York,11.73,330,9
Modern Vintage Boutique,Retail,Salt Lake City,Million,Utah,11.65,331,6
NGCI,IT Services,"Washington, DC",Million,District of Columbia,11.54,332,8
Karna,Government Services,Atlanta,Million,Georgia,11.47,333,15
NEKTER JUICE BAR,Food & Beverage,Los Angeles,Million,California,11.46,334,37
Lighter Capital,Financial Services,Seattle,Million,Washington,11.44,335,4
Kargo,Advertising & Marketing,New York City,Million,New York,11.41,336,94
eAssist Dental Solutions,Health,"Cheyenne, WY",Million,Wyoming,11.38,337,4
Freedom Solar Power,Energy,Austin,Million,Texas,11.34,338,16
OTR Capital,Financial Services,Atlanta,Million,Georgia,11.34,339,11
Kwest Enterprises,Construction,"Montgomery, AL",Million,Alabama,11.23,340,4
DirectDefense,Security,Denver,Million,Colorado,11.21,341,4
Edifice Solutions,Government Services,"Washington, DC",Million,Maryland,11.21,342,31
The Newsletter Pro,Advertising & Marketing,"Boise City, ID",Million,Idaho,11.19,343,4
Midwest Corporate Credit,Financial Services,Chicago,Million,Illinois,11.19,344,4
Relumination,Energy,Phoenix,Million,Arizona,11.18,345,4
Quick Bridge Funding,Financial Services,Los Angeles,Million,California,11.14,346,49
Influenster,Advertising & Marketing,New York City,Million,New York,11.05,347,7
Davis Defense Group,Government Services,"Washington, DC",Million,Virginia,11.02,348,31
Status Labs,Advertising & Marketing,Austin,Million,Texas,10.99,349,5
Rafael Marrero and Company,Business Products & Services,Miami,Million,Florida,10.82,350,3
Windsor Circle,Software,"Durham-Chapel Hill, NC",Million,North Carolina,10.81,351,3
Palo Media,Advertising & Marketing,Boston,Million,Massachusetts,10.78,352,2
Legacybox,Consumer Products & Services,"Chattanooga, TN-GA",Million,Tennessee,10.76,353,10
Real Estate Expert Advisors,Real Estate,Atlanta,Million,Georgia,10.75,354,2
Sooryen Technologies,IT Services,New York City,Million,New Jersey,10.74,355,4
Access Point Financial,Financial Services,Atlanta,Million,Georgia,10.73,356,31
Cloud Software,IT Services,Phoenix,Million,Arizona,10.72,357,2
Makeup Geek,Consumer Products & Services,"Jackson, MI",Million,Michigan,10.72,358,18
Morning Sun Financial Services,Health,Minneapolis,Million,Minnesota,10.63,359,55
Tag Aero,Logistics & Transportation,"Orlando, FL",Million,Florida,10.59,360,8
Fortress Marine Construction,Construction,"Orlando, FL",Million,Florida,10.58,361,5
ListenFirst Media,Business Products & Services,New York City,Million,New York,10.57,362,5
J.W. Logistics,Logistics & Transportation,Dallas,Million,Texas,10.55,363,108
Myrtle Consulting Group,Business Products & Services,Houston,Million,Texas,10.52,364,9
Assurity Staffing Group,IT Services,Atlanta,Million,Georgia,10.51,365,3
Cardlytics,Advertising & Marketing,Atlanta,Million,Georgia,10.49,366,78
Asanda AVEDA Spa Lounge,Consumer Products & Services,New York City,Million,New York,10.48,367,5
Swift Capital,Financial Services,Philadelphia,Million,Delaware,10.47,368,51
Trigent Solutions,IT Services,"Washington, DC",Million,Virginia,10.46,369,6
